event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR145732,"24 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Zaporizhia,Zaporizkyi,Tavriiska,Yurkivka,47.6545,35.655,2,"Ministry of Defence of Russia",National,"On 24 January 2024, Russian air forces and artillery struck the Ukrainian military near Yurkivka, Zaporizhia. According to Russian sources, the Ukrainian military lost up to 130 soldiers, a tank, 4 cars, 4 artillery systems near Robotyne, Verbove and Yurkivka [Russian MoD reported 130 fatalities. 130 fatalities split across 3 locations. 3 fatalities coded to this event].",3,,1706649935
UKR145379,"22 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Dnipropetrovsk,Dniprovskyi,Dniprovska,Dnipro,48.4593,35.0386,3,"24 Channel; Flot 2017; Suspilne Media; Ukrinform; Unian",National,"On 22 January 2024, Russian Forces launched UAVs in the area of Dnipropetrovsk region (coded to Dnipro, Dnipropetrovsk). The UAVs were shot down by Ukrainian forces. The fallen debris of a downed drone fell on the territory of an enterprise causing a fire. No casualties.",0,,1706649933
UKR145421,"22 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.9672,32.0183,3,"24 Channel; Flot 2017; Suspilne Media; Ukrinform; Unian",National,"On 22 January 2024, Russian Forces launched a Kh-59 cruise missile and drones in the area of Mykolaiv region (coded to Mykolaiv, Mykolaiv). The missile and drones were shot down by Ukrainian Forces. The fallen debris of a downed missile fell on a building causing a fire. No casualties.",0,,1706649934
UKR145209,"20 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Zaporizhia,Polohivskyi,Tokmatska,Robotyne,47.4478,35.837,2,"Ministry of Defence of Russia; Suspilne Media",National,"On 20 January 2024, Russian forces carried out drone strikes and fired artillery at Ukrainian positions near Robotyne, Zaporizhia. According to Russian sources, more than 30 Ukrainian servicemen were killed near Robotyne, Verbove, Pyatykhatky and Nesterianka [Russian MoD reported 30 fatalities. Coded as 10 fatalities split across 4 events. 3 fatalities coded to this event].",3,,1706649933
UKR145161,"20 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Kramatorskyi,Kostiantynivska,Kostiantynivka,48.5333,37.7166,2,"Ministry of Defence of Russia",National,"On 20 January 2024, Russian forces carried out airstrikes and drone strikes, fired artillery at Ukrainian positions near Kostiantynivka, Donetsk. A Ukrainian ammunition depot was destroyed. Casualties unknown.",0,,1732654919
UKR147954,"19 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kherson,Beryslavskyi,Tiahynska,Virivka,46.8942,33.1739,2,"Centre for Information Resilience","New media","On 19 January 2024, Russian forces hit with a drone Ukrainian military vehicle near Virivka, Kherson region. Casualties unknown.",0,,1708472498
UKR176969,"19 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kherson,Beryslavskyi,Beryslavska,Beryslav,46.8415,33.4284,1,"Ministry of Defence of Ukraine; Novoye Vremya Ukraine",Other-National,"On 19 January 2024, Russian forces conducted FPV-kamikaze drone strikes and dropped drone-borne explosives at Beryslav, Kherson, likely targeting Ukrainian military positions. No casualties.",0,,1726615183
UKR176970,"19 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Mykolaiv,Mykolaivskyi,Kutsurubska,Dmytrivka,46.6304,31.7398,1,"Ministry of Defence of Ukraine",Other,"On 19 January 2024, Russian forces conducted FPV-kamikaze drone strikes and dropped drone-borne explosives at Dmytrivka, Mykolaiv, likely targeting Ukrainian military positions. No casualties.",0,,1726615183
UKR176974,"19 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kherson,Khersonskyi,Darivska,Poniativka,46.7465,32.9123,1,"Ministry of Defence of Ukraine",Other,"On 19 January 2024, Russian forces conducted FPV-kamikaze drone strikes and dropped drone-borne explosives at Poniativka, Kherson, likely targeting Ukrainian military positions. No casualties.",0,,1726615183
UKR176975,"19 January 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kherson,Beryslavskyi,Mylivska,Sablukivka,47.1221,33.7705,1,"Ministry of Defence of Ukraine",Other,"On 19 January 2024, Russian forces conducted FPV-kamikaze drone strikes and dropped drone-borne explosives at Sablukivka, Kherson, likely targeting Ukrainian military positions. No casualties.",0,,1726615183
